"State","Candy"
"Alabama","Candy Corn"
"Alaska","Twix"
"Arizona","Snickers"
"Arkansas","Jolly Ranchers"
"California","Skittles"
"Colorado","Twix"
"Connecticut","Almond Joy"
"Delaware","Life Savers"
"District of Columbia (DC)","M&M's"
"Florida","Snickers"
"Georgia","Jolly Ranchers"
"Hawaii","Skittles"
"Idaho","Candy Corn"
"Illinois","Kit-Kat"
"Indiana","Hot Tamales"
"Iowa","Candy Corn"
"Kansas","Reese's Cups"
"Kentucky","Swedish Fish"
"Louisiana","Lemonheads"
"Maine","Sour Patch Kids"
"Montana","Double Bubble Gum"
"Nebraska","Salt Water Taffy"
"Nevada","Candy Corn"
"New Hampshire","Starburst"
"New Jersey","Skittles"
"New Mexico","Candy Corn"
"New York","Sour Patch Kids"
"North Carolina","M&M's"
"North Dakota","Hot Tamales"
"Ohio","M&M's"
"Oklahoma,"Double Bubble Gum"
"Oregon","Reese's Cups"
"Maryland","Milky Way"
"Massachusetts","Sour Patch Kids"
"Michigan","Candy Corn"
"Minnesota","Tootsie Pops"
"Mississippi","3 Musketeers"
"Missouri","Milky Way"
"Pennsylvania","Skittles"
"Rhode Island","Candy Corn"
"South Carolina","Skittles"
"South Dakota","Starburst"
"Tennessee","Tootsie Pops"
"Texas","Reese's Cups"
"Utah","Jolly Ranchers"
"Vermont","Milky Way"
"Virginia","Hot Tamales"
"Washington","Salt Water Taffy"
"West Virginia","Blow Pops"
"Wisconsin","Butterfinger"
"Wyoming","Reese's Cups"
